LocationID,Borough,Zone,Lat,Lon
1,EWR,Newark Airport,40.6895314,-74.1744624
2,Queens,Jamaica Bay,40.6056632,-73.8713099
3,Bronx,Allerton/Pelham Gardens,40.8651604,-73.8426731
4,Manhattan,Alphabet City,40.7258428,-73.9774916
5,Staten Island,Arden Heights,40.5567951,-74.1739057
6,Staten Island,Arrochar/Fort Wadsworth,40.6070608,-74.0843411
7,Queens,Astoria,40.7643574,-73.9234619
8,Queens,Astoria Park,40.7796684,-73.9215888
9,Queens,Auburndale,40.754115,-73.7860276
10,Queens,Baisley Park,40.6737751,-73.786025
11,Brooklyn,Bath Beach,40.6045491,-74.004306
12,Manhattan,Battery Park,40.7032775,-74.0170279
13,Manhattan,Battery Park City,40.7115786,-74.0158441
14,Brooklyn,Bay Ridge,40.6261638,-74.0329499
15,Queens,Bay Terrace/Fort Totten,40.7927954,-73.7769144
16,Queens,Bayside,40.7585569,-73.7654367
17,Brooklyn,Bedford,40.6872176,-73.9417735
18,Bronx,Bedford Park,40.8700999,-73.8856912
19,Queens,Bellerose,40.7320207,-73.7183639
20,Bronx,Belmont,40.8523198,-73.88601
21,Brooklyn,Bensonhurst East,40.6112691,-73.9976946
22,Brooklyn,Bensonhurst West,40.6112691,-73.9976946
23,Staten Island,Bloomfield/Emerson Hill,40.6090167,-74.1252423
24,Manhattan,Bloomingdale,40.7988958,-73.9697795
25,Brooklyn,Boerum Hill,40.6848689,-73.9844722
26,Brooklyn,Borough Park,40.6323009,-73.9888797
27,Queens,Breezy Point/Fort Tilden/Riis Beach,40.5616379,-73.8953425
28,Queens,Briarwood/Jamaica Hills,40.7127682,-73.8275756
29,Brooklyn,Brighton Beach,40.5780706,-73.9596565
30,Queens,Broad Channel,40.6158335,-73.8213213
31,Bronx,Bronx Park,40.8605932,-73.870666
32,Bronx,Bronxdale,40.8478445,-73.8601178
33,Brooklyn,Brooklyn Heights,40.6960105,-73.9932872
34,Brooklyn,Brooklyn Navy Yard,40.7020737,-73.9708292
35,Brooklyn,Brownsville,40.66308,-73.9095279
36,Brooklyn,Bushwick North,40.6944282,-73.9212858
37,Brooklyn,Bushwick South,40.6944282,-73.9212858
38,Queens,Cambria Heights,40.692158,-73.7330753
39,Brooklyn,Canarsie,40.6402325,-73.9060579
40,Brooklyn,Carroll Gardens,40.6795331,-73.9991637
41,Manhattan,Central Harlem,40.827201,-73.938
42,Manhattan,Central Harlem North,40.827201,-73.938
43,Manhattan,Central Park,40.7828647,-73.9653551
44,Staten Island,Charleston/Tottenville,40.5216684,-74.2346398
45,Manhattan,Chinatown,40.7157509,-73.9970307
46,Bronx,City Island,40.8468202,-73.7874983
47,Bronx,Claremont/Bathgate,40.8502084,-73.895282
48,Manhattan,Clinton East,40.7637581,-73.9918181
49,Brooklyn,Clinton Hill,40.6893665,-73.9639021
50,Manhattan,Clinton West,40.7637581,-73.9918181
51,Bronx,Co-Op City,40.8738889,-73.8294444
52,Brooklyn,Cobble Hill,40.686536,-73.9962255
53,Queens,College Point,40.786395,-73.8389657
54,Brooklyn,Columbia Street,40.6781085,-74.0060591
55,Brooklyn,Coney Island,40.5755438,-73.9707016
56,Queens,Corona,40.7449859,-73.8642613
57,Queens,Corona,40.7449859,-73.8642613
58,Bronx,Country Club,40.8430539,-73.8213213
59,Bronx,Crotona Park,40.8400221,-73.8953614
60,Bronx,Crotona Park East,40.8366377,-73.8922388
61,Brooklyn,Crown Heights North,40.6681032,-73.9447994
62,Brooklyn,Crown Heights South,40.6681032,-73.9447994
63,Brooklyn,Cypress Hills,40.6836118,-73.8801301
64,Queens,Douglaston,40.768713,-73.7470765
65,Brooklyn,Downtown Brooklyn/MetroTech,40.694223,-73.985656
66,Brooklyn,DUMBO/Vinegar Hill,40.7030556,-73.9847221
67,Brooklyn,Dyker Heights,40.6214932,-74.009584
68,Manhattan,East Chelsea,40.7465004,-74.0013737
69,Bronx,East Concourse/Concourse Village,40.824062,-73.919308
70,Queens,East Elmhurst,40.7737505,-73.8713099
71,Brooklyn,East Flatbush/Farragut,40.6385251,-73.9260253
72,Brooklyn,East Flatbush/Remsen Village,40.6468201,-73.9133089
73,Queens,East Flushing,40.7525589,-73.8095574
74,Manhattan,East Harlem North,40.7957399,-73.9389213
75,Manhattan,East Harlem South,40.7957399,-73.9389213
76,Brooklyn,East New York,40.6568312,-73.8830701
77,Brooklyn,East New York/Pennsylvania Avenue,40.6560923,-73.8886753
78,Bronx,East Tremont,40.8453781,-73.8909693
79,Manhattan,East Village,40.7264773,-73.9815337
80,Brooklyn,East Williamsburg,40.7158762,-73.9330429
81,Bronx,Eastchester,40.883324,-73.8272029
82,Queens,Elmhurst,40.737975,-73.8801301
83,Queens,Elmhurst/Maspeth,40.737975,-73.8801301
84,Staten Island,Eltingville/Annadale/Prince's Bay,40.55208,-74.1659708
85,Brooklyn,Erasmus,40.6495813,-73.9581967
86,Queens,Far Rockaway,40.5998931,-73.7448437
87,Manhattan,Financial District North,40.7074909,-74.0112764
88,Manhattan,Financial District South,40.7081703,-73.9996475
89,Brooklyn,Flatbush/Ditmas Park,40.6409217,-73.9624327
90,Manhattan,Flatiron,40.740083,-73.9903489
91,Brooklyn,Flatlands,40.6268432,-73.9330429
92,Queens,Flushing,40.7674987,-73.833079
93,Queens,Flushing Meadows-Corona Park,40.7397136,-73.840785
94,Bronx,Fordham South,40.8589734,-73.8862766
95,Queens,Forest Hills,40.718106,-73.8448469
96,Queens,Forest Park/Highland Park,40.7026774,-73.8492576
97,Brooklyn,Fort Greene,40.6920638,-73.9741874
98,Queens,Fresh Meadows,40.7335179,-73.7801447
99,Staten Island,Freshkills Park,40.5773669,-74.1861616
100,Manhattan,Garment District,40.7547072,-73.9916342
101,Queens,Glen Oaks,40.7471504,-73.7118223
102,Queens,Glendale,40.698994,-73.8804427
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.6994748,-74.0395587
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.6994748,-74.0395587
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.6994748,-74.0395587
106,Brooklyn,Gowanus,40.6733364,-73.9903489
107,Manhattan,Gramercy,40.7367783,-73.9844722
